Region,Year,Internet_Users_Million
Africa,2005,15
Africa,2006,20
Africa,2007,25
Africa,2008,29
Africa,2009,36
Africa,2010,52
Africa,2011,66
Africa,2012,83
Africa,2013,104
Africa,2014,128
Africa,2015,153
Africa,2016,177
Africa,2017,204
Africa,2018,233
Africa,2019,270
Africa,2020,308
Africa,2021,348
Africa,2022,381
Africa,2023,415
Africa,2024,456
Americas,2005,315
Americas,2006,345
Americas,2007,384
Americas,2008,402
Americas,2009,425
Americas,2010,453
Americas,2011,480
Americas,2012,522
Americas,2013,537
Americas,2014,563
Americas,2015,610
Americas,2016,672
Americas,2017,715
Americas,2018,744
Americas,2019,769
Americas,2020,816
Americas,2021,839
Americas,2022,854
Americas,2023,878
Americas,2024,903
Arab States,2005,28
Arab States,2006,35
Arab States,2007,48
Arab States,2008,60
Arab States,2009,71
Arab States,2010,83
Arab States,2011,94
Arab States,2012,108
Arab States,2013,121
Arab States,2014,138
Arab States,2015,156
Arab States,2016,172
Arab States,2017,197
Arab States,2018,213
Arab States,2019,240
Arab States,2020,274
Arab States,2021,299
Arab States,2022,318
Arab States,2023,331
Arab States,2024,342
Asia-Pacific,2005,360
Asia-Pacific,2006,413
Asia-Pacific,2007,523
Asia-Pacific,2008,634
Asia-Pacific,2009,747
Asia-Pacific,2010,894
Asia-Pacific,2011,1009
Asia-Pacific,2012,1105
Asia-Pacific,2013,1207
Asia-Pacific,2014,1301
Asia-Pacific,2015,1409
Asia-Pacific,2016,1540
Asia-Pacific,2017,1648
Asia-Pacific,2018,1823
Asia-Pacific,2019,2096
Asia-Pacific,2020,2439
Asia-Pacific,2021,2607
Asia-Pacific,2022,2720
Asia-Pacific,2023,2815
Asia-Pacific,2024,2949
CIS,2005,25
CIS,2006,32
CIS,2007,43
CIS,2008,56
CIS,2009,75
CIS,2010,90
CIS,2011,109
CIS,2012,126
CIS,2013,134
CIS,2014,143
CIS,2015,147
CIS,2016,157
CIS,2017,164
CIS,2018,177
CIS,2019,186
CIS,2020,195
CIS,2021,207
CIS,2022,215
CIS,2023,222
CIS,2024,228
Europe,2005,281
Europe,2006,303
Europe,2007,344
Europe,2008,374
Europe,2009,397
Europe,2010,422
Europe,2011,434
Europe,2012,452
Europe,2013,468
Europe,2014,485
Europe,2015,494
Europe,2016,510
Europe,2017,527
Europe,2018,550
Europe,2019,565
Europe,2020,587
Europe,2021,604
Europe,2022,612
Europe,2023,621
Europe,2024,631
